ID,TITLE,ARTIST,SWEET,WARM,ENTHUSIASTIC,MODERN,SORROW,SCORE
86,심심할때만 (feat. 소유 Of 씨스타),이루펀트,2.595,3.38,2.0275,2.98,1,11.9825
87,Candle (Feat. Paloalto),원더걸스,1.965,2.0525,2.165,2.79,1.665,10.6375
88,All Day (Feat. 타블로),천재노창,1.62,2.2425,2.875,2.16,1.255,10.1525
89,마리화나,유성은,1.51,3.1125,1.39,2.08,2,10.0925
90,답가 (Feat. 박윤하),김성규(인피니트),2.465,3.0425,1.635,1.99,2.335,11.4675
91,짠해,피에스타,1.46,2.2075,2.8225,2.02,2.675,11.185
92,때려박는 랩 (Bonus Track),매드 클라운,1.765,1.4825,2.405,2.32,1.17,9.1425
93,엔딩을 부탁해,인피니트,2.095,2.6225,4.1625,3.08,1,12.96
94,"밤하늘의 별을 6 (With 알렉스, 피어)",양정승,4.11,3.19,1.55,1.61,1.16,11.62
95,Alright,신화,1.96,2.3025,2.3375,2.62,1,10.22
96,#불편해 (Feat. 강민희 (미스에스)),렉스디(혼성),3.225,2.9225,2.1525,3.07,1,12.37
97,마일리지 (Mileage) (With YDG),정용화,2.6,3.3875,1.56,2.62,1.085,11.2525
98,반가워요 (chorus by 윤미래),타이거JK,1,1.44,1.9975,2.47,3.84,10.7475
99,FM,크레용팝,1.565,1.155,2.21,1.23,1,7.16
100,유성우 (流星雨) (Lady Luck),EXO,1.385,1.2675,2.1125,2.31,2.33,9.405
101,민들레 홀씨 되어,멜로디데이 여은,1.946666667,5.54,1.743333333,2.773333333,5.44,17.44333333
102,그대와 영원히 ,홍지민,3.033333333,5.23,1.863333333,2.12,3.213333333,15.46
103,진달래꽃,소냐,1.926666667,3.53,4.483333333,2.24,5.226666667,17.40666667
104,고해,스틸하트,2.486666667,3.61,3.76,2.813333333,3.886666667,16.55666667
105,비와 당신,박중훈,1.54,3.126666667,3.433333333,2.293333333,4.88,15.27333333
106,Swing Baby,차지연,2.18,2.966666667,5.286666667,4.813333333,1.22,16.46666667
107,흐린 기억 속의 그대,이정,2.393333333,3.76,5.113333333,3.653333333,2.333333333,17.25333333
108,가질 수 없는 너,김연우,2.88,5.356666667,3.21,2.893333333,4.873333333,19.21333333
109,하여가,하현우,1.426666667,3.29,5.433333333,4.986666667,1.446666667,16.58333333
110,말해뭐해,Kwill,4.473333333,5.77,4.67,3.253333333,1.22,19.38666667
111,봄이좋냐,10cm,5.133333333,5.746666667,3.78,3.893333333,2.02,20.57333333
112,거울,국카스텐,2,3.426666667,5.95,4.933333333,2.46,18.77
113,Gee,소녀시대,6.126666667,4.666666667,5.53,3.893333333,1,21.21666667
114,롤리폴리,티아라,3.6,3.61,5.493333333,2.84,1.113333333,16.65666667
115,서쪽하늘,울랄라세션,1.333333333,4.22,3.343333333,3.493333333,6.56,18.95
116,뱃걸굳걸,미쓰에이,2.873333333,3.943333333,4.793333333,4.56,1.34,17.51
117,베르사유 장미,네미시스,2.42,3.886666667,5.74,3.693333333,4.346666667,20.08666667
